"Address","Occurrences","Meta Keywords 1","Meta Keywords 1 Length","Indexability","Indexability Status"
"https://jigsawnation.com/in/en/products/categories/jigsaw-puzzles/by-chaaya-prabhat/","1","jigsaw puzzles, buy puzzles online, 1000 piece puzzle, puzzles india, jigsaw puzzles india, adult puzzles, premium jigsaw puzzles","129","Non-Indexable","Canonicalised"
"https://jigsawnation.com/in/en/products/categories/jigsaw-puzzles/by-annada-menon/","1","jigsaw puzzles, buy puzzles online, 1000 piece puzzle, puzzles india, jigsaw puzzles india, adult puzzles, premium jigsaw puzzles","129","Non-Indexable","Canonicalised"
"https://jigsawnation.com/in/en/products/categories/jigsaw-puzzles/100-pieces/","1","jigsaw puzzles, buy puzzles online, 100 pieces, puzzles india, jigsaw puzzles india, adult puzzles, premium jigsaw puzzles","122","Non-Indexable","Canonicalised"
"https://jigsawnation.com/in/en/products/categories/jigsaw-puzzles/?after=WyIxMDAwMDAyLjY0NTc1MTMxMTEiLCAiVGlsZXMgb2YgUG9ydHVnYWwiLCAidGlsZXMtb2YtcG9ydHVnYWwiXQ%3D%3D","1","jigsaw puzzles, buy puzzles online, 1000 piece puzzle, puzzles india, jigsaw puzzles india, adult puzzles, premium jigsaw puzzles","129","Non-Indexable","Canonicalised"
"https://jigsawnation.com/in/en/products/wayanad-churam/","0","","0","Indexable",""
"https://jigsawnation.com/in/en/products/categories/jigsaw-puzzles/500-pieces/","1","jigsaw puzzles, buy puzzles online, 500 pieces, puzzles india, jigsaw puzzles india, adult puzzles, premium jigsaw puzzles","122","Non-Indexable","Canonicalised"
"https://jigsawnation.com/in/en/products/the-explorer/","0","","0","Indexable",""
"https://jigsawnation.com/in/en/products/whimsical-crosswalk/","0","","0","Indexable",""
"https://jigsawnation.com/in/en/products/categories/jigsaw-puzzles/by-soumyaraj-vishwakarma/","1","jigsaw puzzles, buy puzzles online, 1000 piece puzzle, puzzles india, jigsaw puzzles india, adult puzzles, premium jigsaw puzzles","129","Non-Indexable","Canonicalised"
"https://jigsawnation.com/in/en/products/categories/jigsaw-puzzles/1000-pieces/","1","jigsaw puzzles, buy puzzles online, 1000 pieces, puzzles india, jigsaw puzzles india, adult puzzles, premium jigsaw puzzles","123","Non-Indexable","Canonicalised"
"https://jigsawnation.com/in/en/products/?after=WyIxMDAwMDAyLjY0NTc1MTMxMTEiLCAiVGlsZXMgb2YgUG9ydHVnYWwiLCAidGlsZXMtb2YtcG9ydHVnYWwiXQ%3D%3D","0","","0","Non-Indexable","Canonicalised"
"https://jigsawnation.com/in/en/products/categories/jigsaw-puzzles/by-murtaza-m-bookwala/","1","jigsaw puzzles, buy puzzles online, 1000 piece puzzle, puzzles india, jigsaw puzzles india, adult puzzles, premium jigsaw puzzles","129","Non-Indexable","Canonicalised"
"https://jigsawnation.com/in/en/products/categories/jigsaw-puzzles/series-artist/","1","jigsaw puzzles, buy puzzles online, 1000 piece puzzle, puzzles india, jigsaw puzzles india, adult puzzles, premium jigsaw puzzles","129","Non-Indexable","Canonicalised"
"https://jigsawnation.com/in/en/products/categories/jigsaw-puzzles/by-ansh-chandpara/","1","jigsaw puzzles, buy puzzles online, 1000 piece puzzle, puzzles india, jigsaw puzzles india, adult puzzles, premium jigsaw puzzles","129","Non-Indexable","Canonicalised"
"https://jigsawnation.com/in/en/products/categories/jigsaw-puzzles/by-a47/","1","jigsaw puzzles, buy puzzles online, 1000 piece puzzle, puzzles india, jigsaw puzzles india, adult puzzles, premium jigsaw puzzles","129","Non-Indexable","Canonicalised"
"https://jigsawnation.com/in/en/products/categories/jigsaw-puzzles/by-ummesalama-rajgara/","1","jigsaw puzzles, buy puzzles online, 1000 piece puzzle, puzzles india, jigsaw puzzles india, adult puzzles, premium jigsaw puzzles","129","Non-Indexable","Canonicalised"
"https://jigsawnation.com/in/en/products/categories/jigsaw-puzzles/by-muhammed-sajid/","1","jigsaw puzzles, buy puzzles online, 1000 piece puzzle, puzzles india, jigsaw puzzles india, adult puzzles, premium jigsaw puzzles","129","Non-Indexable","Canonicalised"
"https://jigsawnation.com/in/en/products/categories/jigsaw-puzzles/less-than-100-pieces/","1","jigsaw puzzles, buy puzzles online, less than 100 pieces, puzzles india, jigsaw puzzles india, adult puzzles, premium jigsaw puzzles","132","Non-Indexable","Canonicalised"
