"Address","Occurrences","Title 1","Title 1 Length","Title 1 Pixel Width","Indexability","Indexability Status"
"https://jigsawnation.com/in/en/products/amazing-wooden-panda/","1","Buy Amazing Wooden Panda - A 78 Piece Wooden Puzzles Jigsaw Puzzle in India only at Jigsaw Nation","97","918","Indexable",""
"https://jigsawnation.com/in/en/products/royal-wooden-owl/","1","Buy Royal Wooden Owl - A 63 Piece Wooden Puzzles Jigsaw Puzzle in India only at Jigsaw Nation","93","864","Indexable",""
"https://jigsawnation.com/in/en/products/majestic-wooden-fox/","1","Buy Majestic Wooden Fox - A 56 Piece Wooden Puzzles Jigsaw Puzzle in India only at Jigsaw Nation","96","890","Indexable",""
"https://jigsawnation.com/in/en/products/wiggle-wooden-fish/","1","Buy Wiggle Wooden Fish - A 83 Piece Wooden Puzzles Jigsaw Puzzle in India only at Jigsaw Nation","95","880","Indexable",""
"https://jigsawnation.com/in/en/products/marvelous-wooden-elephant/","1","Buy Marvelous Wooden Elephant - A 56 Piece Wooden Puzzles Jigsaw Puzzle in India only at Jigsaw Nation","102","953","Indexable",""
"https://jigsawnation.com/in/en/products/categories/jigsaw-puzzles/series-isro/","1","Buy Isro Jigsaw Puzzles Online in India only at Jigsaw Nation","61","540","Non-Indexable","Canonicalised"
"https://jigsawnation.com/in/en/products/brave-wooden-wolf/","1","Buy Brave Wooden Wolf - A 65 Piece Wooden Puzzles Jigsaw Puzzle in India only at Jigsaw Nation","94","874","Indexable",""
"https://jigsawnation.com/in/en/products/karakuri-workshop/?variant=UHJvZHVjdFZhcmlhbnQ6MTgz","1","Buy Karakuri Workshop in India only at Jigsaw Nation","52","471","Non-Indexable","Canonicalised"
"https://jigsawnation.com/in/en/products/karakuri-workshop/?variant=UHJvZHVjdFZhcmlhbnQ6MTgx","1","Buy Karakuri Workshop in India only at Jigsaw Nation","52","471","Non-Indexable","Canonicalised"
"https://jigsawnation.com/in/en/products/karakuri-workshop/?variant=UHJvZHVjdFZhcmlhbnQ6MTgy","1","Buy Karakuri Workshop in India only at Jigsaw Nation","52","471","Non-Indexable","Canonicalised"
"https://jigsawnation.com/in/en/products/karakuri-workshop/?variant=UHJvZHVjdFZhcmlhbnQ6MTgw","1","Buy Karakuri Workshop in India only at Jigsaw Nation","52","471","Non-Indexable","Canonicalised"
"https://jigsawnation.com/in/en/products/karakuri-workshop/?variant=UHJvZHVjdFZhcmlhbnQ6MTg4","1","Buy Karakuri Workshop in India only at Jigsaw Nation","52","471","Non-Indexable","Canonicalised"
"https://jigsawnation.com/in/en/products/karakuri-workshop/?variant=UHJvZHVjdFZhcmlhbnQ6MTkx","1","Buy Karakuri Workshop in India only at Jigsaw Nation","52","471","Non-Indexable","Canonicalised"
"https://jigsawnation.com/in/en/products/karakuri-workshop/?variant=UHJvZHVjdFZhcmlhbnQ6MTg5","1","Buy Karakuri Workshop in India only at Jigsaw Nation","52","471","Non-Indexable","Canonicalised"
"https://jigsawnation.com/in/en/products/karakuri-workshop/?variant=UHJvZHVjdFZhcmlhbnQ6MTg2","1","Buy Karakuri Workshop in India only at Jigsaw Nation","52","471","Non-Indexable","Canonicalised"
"https://jigsawnation.com/in/en/products/karakuri-workshop/?variant=UHJvZHVjdFZhcmlhbnQ6MTkw","1","Buy Karakuri Workshop in India only at Jigsaw Nation","52","471","Non-Indexable","Canonicalised"
"https://jigsawnation.com/in/en/products/karakuri-workshop/?variant=UHJvZHVjdFZhcmlhbnQ6MTg1","1","Buy Karakuri Workshop in India only at Jigsaw Nation","52","471","Non-Indexable","Canonicalised"
"https://jigsawnation.com/in/en/products/karakuri-workshop/?variant=UHJvZHVjdFZhcmlhbnQ6MTg0","1","Buy Karakuri Workshop in India only at Jigsaw Nation","52","471","Non-Indexable","Canonicalised"
"https://jigsawnation.com/in/en/products/karakuri-workshop/?variant=UHJvZHVjdFZhcmlhbnQ6MTg3","1","Buy Karakuri Workshop in India only at Jigsaw Nation","52","471","Non-Indexable","Canonicalised"
"https://jigsawnation.com/in/en/products/karakuri-workshop-book/","1","Buy Karakuri Workshop Book in India only at Jigsaw Nation","57","520","Indexable",""
"https://jigsawnation.com/in/en/products/jigsaw-puzzle-sticker-paper/?variant=UHJvZHVjdFZhcmlhbnQ6MTk1","1","Buy Jigsaw Puzzle Sticker Paper in India only at Jigsaw Nation","62","555","Non-Indexable","Canonicalised"
"https://jigsawnation.com/in/en/products/jigsaw-puzzle-sticker-paper/?variant=UHJvZHVjdFZhcmlhbnQ6MTk2","1","Buy Jigsaw Puzzle Sticker Paper in India only at Jigsaw Nation","62","555","Non-Indexable","Canonicalised"
"https://jigsawnation.com/in/en/products/jigsaw-puzzle-sticker-paper/?variant=UHJvZHVjdFZhcmlhbnQ6MTk3","1","Buy Jigsaw Puzzle Sticker Paper in India only at Jigsaw Nation","62","555","Non-Indexable","Canonicalised"
"https://jigsawnation.com/in/en/products/jigsaw-puzzle-sticker-paper/?variant=UHJvZHVjdFZhcmlhbnQ6MTky","1","Buy Jigsaw Puzzle Sticker Paper in India only at Jigsaw Nation","62","555","Non-Indexable","Canonicalised"
"https://jigsawnation.com/in/en/products/jigsaw-puzzle-sticker-paper/?variant=UHJvZHVjdFZhcmlhbnQ6MTkz","1","Buy Jigsaw Puzzle Sticker Paper in India only at Jigsaw Nation","62","555","Non-Indexable","Canonicalised"
